title,foodtype,location,menu_title,image,cost,score
홍은이 닭지그리,닭요리,충남 아산시 배방읍 호서로 104-16,닭지그리4인풀세트,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170910_197%2F1505039363703z3BXt_JPEG%2FTnA0SzQ-XZXKaxGyXYvPxRPE.JPG.jpg,"29,000",2.9
홍은이 닭지그리,닭요리,충남 아산시 배방읍 호서로 104-16,돈지그리4인풀세트,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170910_53%2F1505039593423vAFD3_JPEG%2FgF2nwo_AfM093RAX-UELuXJt.JPG.jpg,"29,000",2.9
홍은이 닭지그리,닭요리,충남 아산시 배방읍 호서로 104-16,순두부,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170910_28%2F15050402051446lJnn_JPEG%2FVo2kbJmstDSj7CuYdRJysG3q.JPG.jpg,"9,000",2.9
홍은이 닭지그리,닭요리,충남 아산시 배방읍 호서로 104-16,치킨,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170910_248%2F1505040528259AXFTM_JPEG%2FbNqNPS8caPJ3uCxde_pVR_ed.JPG.jpg,"18,000",2.9
홍은이 닭지그리,닭요리,충남 아산시 배방읍 호서로 104-16,똥집후라이드,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170910_259%2F1505040738051K75A5_JPEG%2FV7noAhalwQiMwYraImXJ6PBH.JPG.jpg,"13,000",2.9
피노카페,"카페,디저트",충남 천안시 동남구 풍세면 휴양림길 99-23 피노카페,알리오올리오,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231230_155%2F1703925063518WGE8J_JPEG%2FIMG_2009.jpeg,"15,000",3.4
피노카페,"카페,디저트",충남 천안시 동남구 풍세면 휴양림길 99-23 피노카페,반반피자(소!불고기 & 페페로니),https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230704_152%2F1688465473761jyipw_JPEG%2F82A26125-3DA3-4DBB-A720-67DAD4E9A150.jpeg,"20,900",3.4
피노카페,"카페,디저트",충남 천안시 동남구 풍세면 휴양림길 99-23 피노카페,치킨로제 리조또,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240111_44%2F17049615701310afG5_JPEG%2FIMG_2137.jpeg,"16,000",3.4
피노카페,"카페,디저트",충남 천안시 동남구 풍세면 휴양림길 99-23 피노카페,반반피자(쉬림프&포테이토베이컨),https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230210_156%2F1676003050898pnWIm_JPEG%2F8DE7BEC7-553D-45F7-8248-54241CA86553.jpeg,"18,900",3.4
피노카페,"카페,디저트",충남 천안시 동남구 풍세면 휴양림길 99-23 피노카페,토마토파스타,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221126_91%2F16694291692347etm3_JPEG%2FAA6A8E37-9268-43D5-89B1-C5C526EB723D.jpeg,"16,000",3.4
피노카페,"카페,디저트",충남 천안시 동남구 풍세면 휴양림길 99-23 피노카페,스페셜런치,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231230_250%2F1703925078819vawIo_JPEG%2FIMG_2008.jpeg,"14,000",3.4
피노카페,"카페,디저트",충남 천안시 동남구 풍세면 휴양림길 99-23 피노카페,에그마요 크로아상,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221126_244%2F1669428956427guwli_JPEG%2F081BF2E8-66B7-4E25-B327-5B5BACC6AC23.jpeg,"6,500",3.4
피노카페,"카페,디저트",충남 천안시 동남구 풍세면 휴양림길 99-23 피노카페,누네띠네 스콘,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220604_174%2F1654309640272pAaFQ_JPEG%2F399810B9-1BF7-49B4-838D-40507314FC0B.jpeg,"4,000",3.4
피노카페,"카페,디저트",충남 천안시 동남구 풍세면 휴양림길 99-23 피노카페,피노슈페너,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220102_156%2F1641108145172ffLSc_JPEG%2F%25B4%25D9%25BF%25EE%25B7%25CE%25B5%25E5.jpg,"6,000",3.4
피노카페,"카페,디저트",충남 천안시 동남구 풍세면 휴양림길 99-23 피노카페,흑임자라떼,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201016_270%2F16028314156581puTc_JPEG%2FGtXsYVnq1TgkI4MVon7pXA3x.jpeg.jpg,"6,500",3.4
피노카페,"카페,디저트",충남 천안시 동남구 풍세면 휴양림길 99-23 피노카페,만원의 행복 1인 세트,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240509_142%2F1715250354394PjDiH_JPEG%2FIMG_2775.jpeg,"10,000",3.4
피노카페,"카페,디저트",충남 천안시 동남구 풍세면 휴양림길 99-23 피노카페,딸기크림라떼,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231230_60%2F1703914719959v7SJq_JPEG%2FIMG_2006.jpeg,"7,000",3.4
피노카페,"카페,디저트",충남 천안시 동남구 풍세면 휴양림길 99-23 피노카페,토마토리조또,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240111_50%2F1704961553922RK75V_JPEG%2FIMG_2136.jpeg,"16,000",3.4
